trocknen::V
itl	23
ron	28
oss	27
ale	9
ita	28
nld	12
mnc	4
vep	3
hrv	29
ady	27
nor	30
fin	3
eus	6
kmr	8
mns	17
kca	20
dan	30
ces	2
dar	49
hin	28
hye	32
pbu	48
cmn	11
kpv	25
evn	7
ykg	50
mhr	1
bak	3
tel	6
mdf	1
olo	3
arb	16
sel	18
ess	15
abk	34
sms	46
pes	1
smn	46
ddo	9
smj	1
sme	1
sma	1
tur	13
rus	2
lez	13
ket	12
yux	23
ekk	3
ell	2
gld	7
gle	12
krl	3
isl	38
sjd	1
uzn	13
bsk	45
por	28
pol	2
bre	28
koi	25
fra	28
yrk	17
che	18
swe	30
ukr	2
xal	37
heb	10
kor	43
chv	14
hun	20
bul	2
bua	40
cym	20
udm	25
azj	13
ben	19
bel	2
slv	29
deu	27
cat	28
ain	20
slk	2
tat	3
sah	13
jpn	26
myv	1
khk	47
lbe	9
spa	28
tam	6
ava	39
enf	17
eng	12
lit	21
liv	3
nio	42
kan	41
kal	35
sqi	24
kat	22
lat	44
kaz	13
lav	42
niv	33
mal	31
ckt	36
mrj	1
